date,ticker,open,high,low,close,volume
2018-08-01,DJI,25461.630859375,25488.80078125,25278.3203125,25333.8203125,315880000
2018-08-02,DJI,25256.44921875,25360.48046875,25120.0703125,25326.16015625,307700000
2018-08-03,DJI,25360.369140625,25467.900390625,25325.169921875,25462.580078125,239020000
2018-08-06,DJI,25437.4296875,25540.01953125,25381.380859375,25502.1796875,238990000
2018-08-07,DJI,25551.650390625,25692.720703125,25551.650390625,25628.91015625,239910000
2018-08-08,DJI,25615.720703125,25634.109375,25557.48046875,25583.75,217770000
2018-08-09,DJI,25589.7890625,25613.310546875,25492.689453125,25509.23046875,214970000
2018-08-10,DJI,25401.189453125,25401.189453125,25222.880859375,25313.140625,234480000
2018-08-13,DJI,25327.189453125,25381.390625,25153.9296875,25187.69921875,219990000
2018-08-14,DJI,25215.689453125,25339.509765625,25201.869140625,25299.919921875,219210000
2018-08-15,DJI,25235.369140625,25235.369140625,24965.76953125,25162.41015625,295810000
2018-08-16,DJI,25294.970703125,25607.33984375,25294.970703125,25558.73046875,342430000
2018-08-17,DJI,25550.80078125,25728.16015625,25521.66015625,25669.3203125,284160000
2018-08-20,DJI,25727.69921875,25790.169921875,25716.41015625,25758.689453125,248570000
2018-08-21,DJI,25786.990234375,25888.8203125,25784.900390625,25822.2890625,241620000
2018-08-22,DJI,25825.060546875,25836.16015625,25722.4296875,25733.599609375,200480000
2018-08-23,DJI,25714.859375,25762.560546875,25608.01953125,25656.98046875,213270000
2018-08-24,DJI,25688.580078125,25826.05078125,25688.580078125,25790.349609375,200330000
2018-08-27,DJI,25882.7109375,26067.5703125,25882.7109375,26049.640625,220510000
2018-08-28,DJI,26092.69921875,26122.240234375,26037.849609375,26064.01953125,211470000
2018-08-29,DJI,26082.529296875,26167.939453125,26035.30078125,26124.5703125,214960000
2018-08-30,DJI,26099.009765625,26104.369140625,25934.80078125,25986.919921875,240440000
2018-08-31,DJI,25964.849609375,26028.830078125,25879.76953125,25964.8203125,273440000
2018-09-04,DJI,25916.0703125,25971.76953125,25805.94921875,25952.48046875,254600000
2018-09-05,DJI,25919.83984375,26011.220703125,25871.0390625,25974.990234375,289210000
2018-09-06,DJI,25973.01953125,26073.6796875,25880.83984375,25995.869140625,262380000
2018-09-07,DJI,25951.01953125,26002.990234375,25818.390625,25916.5390625,281350000
2018-09-10,DJI,25991.91015625,26039.9609375,25854.130859375,25857.0703125,252170000
2018-09-11,DJI,25841.140625,26019.919921875,25754.3203125,25971.060546875,265960000
